ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;90218;54661;11/04/2019;06/01/2020;;1679975;1;15630601;RI;8;-392,56;0,04;-15,7024;Desconto Inadimplencia                                                ; 
20;5;90218;54661;12/04/2019;07/01/2020;;1680306;1;15657901;RI;8;-168,3;0,04;-6,732;Desconto Inadimplencia                                                ; 
20;5;90218;54661;12/04/2019;07/01/2020;;1680690;1;15692201;RI;9;-204,76;0,04;-8,1904;Desconto Inadimplencia                                                ; 
20;5;90218;54661;15/05/2020;;;1989747;1;586009;SO;;1469,6;0,04;58,784;Apuração Faturamento                                                  ; 
20;5;90218;94544;22/05/2020;;;1991026;1;587999;SO;;3932;0,04;157,28;Apuração Faturamento                                                  ; 
20;5;90218;195363;25/05/2020;;;1991588;1;587984;SO;;1905,05;0,04;76,202;Apuração Faturamento                                                  ; 
20;5;90218;69495;18/05/2020;;;1990001;1;586209;SO;;521,25;0,04;20,85;Apuração Faturamento                                                  ; 
20;5;90218;94907;22/05/2020;;;1991080;1;588003;SO;;3932;0,04;157,28;Apuração Faturamento                                                  ; 
20;5;90218;94543;16/09/2019;12/01/2020;;1805819;1;25110101;RI;4;-702,28;0,04;-28,0912;Desconto Inadimplencia                                                ; 
20;5;90218;94543;16/09/2019;14/01/2020;;1805828;1;25111001;RI;3;-45,07;0,04;-1,8028;Desconto Inadimplencia                                                ; 
20;5;90218;99018;19/05/2020;;;1990248;1;587371;SO;;4402,35;0,04;176,094;Apuração Faturamento                                                  ; 
20;5;90218;93747;28/05/2020;;;1993874;1;591187;SO;;240,75;0,04;9,63;Apuração Faturamento                                                  ; 
20;5;90218;92340;16/09/2019;14/01/2020;;1805897;1;25117901;RI;4;-702,28;0,04;-28,0912;Desconto Inadimplencia                                                ; 
20;5;90218;92340;16/09/2019;14/01/2020;;1805997;1;25118501;RI;3;-30,04;0,04;-1,2016;Desconto Inadimplencia                                                ; 
20;5;90218;96588;26/11/2019;10/01/2020;;1869502;1;29837401;RI;2;-31,59;0,04;-1,2636;Desconto Inadimplencia                                                ; 
20;5;90218;91339;25/05/2020;;;1991626;1;588935;SO;;1762,54;0,04;70,5016;Apuração Faturamento                                                  ; 
20;5;90218;94866;25/05/2020;;;1991482;1;587998;SO;;3932;0,04;157,28;Apuração Faturamento                                                  ; 
20;5;90218;94867;22/05/2020;;;1991081;1;588041;SO;;3883;0,04;155,32;Apuração Faturamento                                                  ; 
20;5;90218;95214;05/05/2020;;;1985511;1;580350;SO;;254,4;0,04;10,176;Apuração Faturamento                                                  ; 
